id, description, link, source, ffmpeg command (change the last file's extension to .mp3 for audio only)
0, hello teamates, https://files.catbox.moe/p3c80y.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:02:39 -t 00:00:09 ee742bed-3cbf-4ff6-b9ec-49be8656726f.mp4
1, I  will ignore you, https://files.catbox.moe/32z0o8.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:04:17.5 -t 00:00:05 3f125f55-206a-452b-80f6-281a1c4b4823.mp4
2, thirst quencher, https://files.catbox.moe/tgy2lg.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:06:30 -t 00:00:04.5 3abf5b93-01a8-401d-beb5-ef46f173e227.mp4
3, bgm appreciation, https://files.catbox.moe/9phifd.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:06:35 -t 00:01:02 e34c79d8-d4f7-442b-b166-eb2b8dc21188.mp4
4, low instrument iq, https://files.catbox.moe/4u7b7y.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:06:35 -t 00:01:02 e34c79d8-d4f7-442b-b166-eb2b8dc21188.mp4
5, psych attack, https://files.catbox.moe/ud7l8n.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:09:21 -t 00:00:19 2b9dfd86-973e-455a-8302-a352f458fb74.mp4
6, our marriage contract, https://files.catbox.moe/w2qny1.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:10:38 -t 00:00:09 ae726e42-20e2-4844-9275-24b03dcb782c.mp4
7, pleasurable gasp, https://files.catbox.moe/xv692j.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:10:51.5 -t 00:00:02.5 fd8a9cc3-f466-4b54-b340-0111981fab93.mp4
8, perception is reality, https://files.catbox.moe/xv5lh4.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:11:00 -t 00:00:07 b4bbb0cb-b162-4b9f-8632-7444aa005a7b.mp4
9, size surprise, https://files.catbox.moe/2zn0nt.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:11:25 -t 00:00:05 ef5d8ad3-00b1-4c39-af76-ee32256671fb.mp4
10, making you big, https://files.catbox.moe/krd8n3.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:11:53 -t 00:00:06.1 8260bf48-95fe-4fef-b897-c2916d1ffd9f.mp4 
11, new ringtone, https://files.catbox.moe/b827xt.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:12:53 -t 00:00:02.5 ee4aef07-138e-4a76-a9d0-1efcbb9c2ca5.mp4
12, laughing at your ed, https://files.catbox.moe/71lhp4.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:13:05 -t 00:00:05 3650ddcb-6725-4b04-9415-6635a2835804.mp4
13, on top making it big, https://files.catbox.moe/9fhrgn.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:15:17 -t 00:00:05 ae06ceb3-94e7-4e65-8a97-bc68d06122ef.mp4 
14, bigger technique inquisition, https://files.catbox.moe/drkvi7.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:15:32 -t 00:00:06 b6cd7a7d-f7f9-4058-824c-d1231a673215.mp4
15, cute noise, https://files.catbox.moe/0qsrko.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:15:57 -t 00:00:03 60fa2e3d-bec6-43df-8485-e2b37ffde132.mp4
16, sodie pop, https://files.catbox.moe/63akjj.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:20:24 -t 00:00:12 fdd5d3ee-5ebb-4319-a8f7-0032be37ff6a.mp4
17, making you coom, https://files.catbox.moe/cb3xsk.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:20:40 -t 00:00:13 7f1eef8c-851c-4dc3-8279-03ea344d8174.mp4
18, enjo kosai proverb, https://files.catbox.moe/fk11hi.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:22:27 -t 00:00:04 ac594e90-e78c-49a5-a575-afbac4ce8f9c.mp4
19, the night's still young, https://files.catbox.moe/oz23g9.mp4, https://www.youtube.com/watch?v=Pqox9-28ZD0, ffmpeg -i video.mp4 -ss 00:28:53 -t 00:00:04 2206f0e3-d50a-4bde-b2b3-fca1eca35bae.mp4

